Résultats moyennés sur 10 simulations, avec N = 55
================================================================================
                                                                                        RMSE moyen      RMSE std     RMV moyen  Temps moyen (s)
KETKF-linear (infl=1.001, c=1.0, reg=0.001, sigma=1.0, deg=2, trunc=True)             8.652817e-02  3.315899e-02  1.062118e-03        11.611766
KETKF-hyperbolique (infl=1.01, c=0.01, reg=0.0001, sigma=1.0, deg=2, log_tr=True)     8.710407e-02  7.614525e-02  3.755128e-02        11.245518
KETKF-lap (infl=1.01, c=1.0, reg=0.0001, sigma=1.0, deg=2, trunc=True)                8.730792e-02  3.611779e-02  1.086659e-03        11.497107
KETKF-hyperbolique (infl=1.05, c=0.0001, reg=0.0001, sigma=1.0, deg=2, trunc=True)    8.808648e-02  2.997514e-02  1.179640e-03        11.308133
KETKF-lap (infl=1.05, c=1.0, reg=0.01, sigma=1.0, deg=2, trunc=True)                  8.811971e-02  3.241679e-02  1.167101e-03        11.544371
KETKF-linear (infl=1.05, c=1.0, reg=0.001, sigma=1.0, deg=2, trunc=True)              8.852082e-02  3.312213e-02  1.181697e-03        11.161264
KETKF-hyperbolique (infl=1.01, c=0.001, reg=0.0001, sigma=1.0, deg=2, trunc=True)     8.859670e-02  3.553905e-02  1.078926e-03        11.345247
KETKF-linear (infl=1.01, c=1.0, reg=0.001, sigma=1.0, deg=2, trunc=True)              8.872198e-02  3.556531e-02  1.083132e-03        11.129985
KETKF-hyperbolique (infl=1.01, c=0.0001, reg=0.0001, sigma=1.0, deg=2, trunc=True)    8.895823e-02  3.638693e-02  1.091864e-03        11.258176
KETKF-lap (infl=1.001, c=1.0, reg=0.001, sigma=1.0, deg=2, trunc=True)                8.919298e-02  3.429532e-02  1.065371e-03        11.466627
KETKF-linear (infl=1.01, c=1.0, reg=0.01, sigma=1.0, deg=2, trunc=True)               8.984631e-02  3.626460e-02  1.082423e-03        11.107242
KETKF-linear (infl=1.001, c=1.0, reg=0.0001, sigma=1.0, deg=2, trunc=True)            8.987587e-02  4.061346e-02  1.065251e-03        12.166585
KETKF-hyperbolique (infl=1.01, c=0.0001, reg=0.001, sigma=1.0, deg=2, trunc=True)     9.016988e-02  3.836453e-02  1.085477e-03        11.378113
