Résultats moyennés sur 10 simulations, avec N = 55
================================================================================
                                                                                        RMSE moyen      RMSE std     RMV moyen  Temps moyen (s)
KETKF-rbf (infl=1.01, c=1.0, reg=0.0001, sigma=0.5, deg=2, trunc=True)                6.603718e+00  4.387774e-02  8.907405e-02        11.212331
KETKF-rbf (infl=1.01, c=1.0, reg=0.0001, sigma=0.1, deg=2, trunc=True)                6.604065e+00  4.371758e-02  8.907934e-02        11.000962
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.001, sigma=0.5, deg=2, trunc=True)             6.604341e+00  4.755047e-02  8.907526e-02        11.921577
KETKF-rbf_exp (infl=1.01, c=1.0, reg=0.0001, sigma=0.1, deg=2, trunc=True)            6.604765e+00  4.714161e-02  8.907034e-02        11.136847
KETKF-rbf (infl=1.05, c=1.0, reg=0.0001, sigma=0.25, deg=2, trunc=True)               6.813152e+00  4.407539e-02  9.280072e-02        11.621090
KETKF-rbf (infl=1.05, c=1.0, reg=0.001, sigma=0.25, deg=2, trunc=True)                6.816798e+00  4.458444e-02  9.282514e-02        11.651733
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.001, sigma=0.25, deg=2, trunc=True)            6.817045e+00  4.152018e-02  9.279603e-02        12.066754
KETKF-rbf (infl=1.05, c=1.0, reg=0.0001, sigma=0.1, deg=2, trunc=True)                6.817192e+00  4.409791e-02  9.280812e-02        11.072290
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.001, sigma=0.1, deg=2, trunc=True)             6.817460e+00  4.679494e-02  9.281855e-02        11.222695
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.0001, sigma=0.25, deg=2, trunc=True)           6.817517e+00  4.152585e-02  9.281762e-02        12.041309
KETKF-rbf (infl=1.05, c=1.0, reg=0.0001, sigma=0.5, deg=2, trunc=True)                6.818122e+00  4.281170e-02  9.281402e-02        11.258449
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.0001, sigma=0.1, deg=2, trunc=True)            6.818140e+00  3.870480e-02  9.282569e-02        11.209062
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.001, sigma=0.5, deg=2, trunc=True)             6.818490e+00  4.388457e-02  9.281807e-02        11.994202
KETKF-rbf (infl=1.05, c=1.0, reg=0.001, sigma=0.1, deg=2, trunc=True)                 6.818648e+00  4.628180e-02  9.280966e-02        11.057189
KETKF-rbf_exp (infl=1.05, c=1.0, reg=0.0001, sigma=0.5, deg=2, trunc=True)            6.821211e+00  4.007441e-02  9.282572e-02        11.995512
KETKF-rbf (infl=1.05, c=1.0, reg=0.001, sigma=0.5, deg=2, trunc=True)                 6.821249e+00  4.299979e-02  9.282769e-02        11.225060
KETKF-polynomial (infl=1.01, c=1.0, reg=0.001, sigma=1.0, deg=3, log_tr=True)         7.616966e+00  8.939310e+00  1.256002e+00        11.385679
KETKF-polynomial (infl=1.05, c=1.0, reg=0.01, sigma=1.0, deg=2, log_tr=True)          8.351941e+00  9.683322e+00  1.166318e+00        11.302131
KETKF-polynomial (infl=1.01, c=1.0, reg=0.01, sigma=1.0, deg=2, log_tr=True)          1.119143e+01  9.693471e+00  1.770571e+00        11.194790
KETKF-polynomial (infl=1.01, c=1.0, reg=0.001, sigma=1.0, deg=2, log_tr=True)         1.155464e+01  8.869759e+00  1.840522e+00        11.183915
KETKF-polynomial (infl=1.001, c=1.0, reg=0.01, sigma=1.0, deg=3, log_tr=True)         1.239946e+01  2.240933e+01  2.706729e+00        11.287444
KETKF-polynomial (infl=1.001, c=1.0, reg=0.01, sigma=1.0, deg=2, log_tr=True)         1.116289e+02  2.030800e+02  2.110565e+01        11.098813
KETKF-polynomial (infl=1.001, c=1.0, reg=0.001, sigma=1.0, deg=3, trunc=True)         1.233332e+02  2.623277e+00  2.517024e-01        11.205348
KETKF-polynomial (infl=1.01, c=1.0, reg=0.01, sigma=1.0, deg=3, trunc=True)           1.242328e+02  2.003127e+00  2.539083e-01        11.262722
KETKF-polynomial (infl=1.001, c=1.0, reg=0.01, sigma=1.0, deg=3, trunc=True)          1.245097e+02  2.468885e+00  2.516960e-01        11.242677
KETKF-polynomial (infl=1.05, c=1.0, reg=0.001, sigma=1.0, deg=3, trunc=True)          1.245423e+02  2.077339e+00  2.640609e-01        11.433763
KETKF-polynomial (infl=1.01, c=1.0, reg=0.001, sigma=1.0, deg=3, trunc=True)          1.246357e+02  2.542633e+00  2.540327e-01        11.288685
KETKF-polynomial (infl=1.05, c=1.0, reg=0.01, sigma=1.0, deg=3, trunc=True)           1.257220e+02  1.971821e+00  2.640302e-01        11.398440
KETKF-polynomial (infl=1.01, c=1.0, reg=0.01, sigma=1.0, deg=2, trunc=True)           1.963505e+02  2.390067e+00  1.839231e-01        11.119425
KETKF-polynomial (infl=1.001, c=1.0, reg=0.001, sigma=1.0, deg=2, trunc=True)         1.964990e+02  3.724070e+00  1.821436e-01        11.093649
KETKF-polynomial (infl=1.001, c=1.0, reg=0.01, sigma=1.0, deg=2, trunc=True)          1.966556e+02  3.099399e+00  1.823199e-01        11.134810
KETKF-polynomial (infl=1.05, c=1.0, reg=0.01, sigma=1.0, deg=2, trunc=True)           1.968714e+02  2.602329e+00  1.911012e-01        11.228934
KETKF-polynomial (infl=1.01, c=1.0, reg=0.001, sigma=1.0, deg=2, trunc=True)          1.969008e+02  2.423396e+00  1.838597e-01        11.112794
KETKF-polynomial (infl=1.05, c=1.0, reg=0.001, sigma=1.0, deg=2, trunc=True)          1.986990e+02  2.561659e+00  1.913777e-01        11.270362
KETKF-polynomial (infl=1.001, c=1.0, reg=0.001, sigma=1.0, deg=2, log_tr=True)        2.292178e+02  6.269223e+02  4.330472e+01        11.063937
KETKF-polynomial (infl=1.05, c=1.0, reg=0.01, sigma=1.0, deg=1, trunc=True)           2.556230e+02  2.585607e+00  1.368208e-01        11.199312
KETKF-polynomial (infl=1.05, c=1.0, reg=0.001, sigma=1.0, deg=1, trunc=True)          2.561809e+02  2.696964e+00  1.366881e-01        11.203423
KETKF-polynomial (infl=1.01, c=1.0, reg=0.001, sigma=1.0, deg=1, trunc=True)          2.573451e+02  2.413526e+00  1.314826e-01        11.153573
KETKF-polynomial (infl=1.01, c=1.0, reg=0.01, sigma=1.0, deg=1, trunc=True)           2.576799e+02  2.535993e+00  1.315783e-01        11.085704
KETKF-polynomial (infl=1.001, c=1.0, reg=0.01, sigma=1.0, deg=1, trunc=True)          2.577313e+02  2.640663e+00  1.304259e-01        11.079718
KETKF-polynomial (infl=1.001, c=1.0, reg=0.001, sigma=1.0, deg=1, trunc=True)         2.580499e+02  2.589745e+00  1.304977e-01        11.078378
KETKF-hyperbolique (infl=1.01, c=0.001, reg=0.001, sigma=1.0, deg=2, log_tr=True)     5.424288e+02  1.627160e+03  2.370043e+03        11.367639
EnKF-PertObs (infl=1.01, trunc=True, rot=False)                                       1.825424e+03  1.154796e+03  3.029422e+03         8.931166
KETKF-hyperbolique (infl=1.05, c=0.001, reg=0.0001, sigma=1.0, deg=2, log_tr=True)    5.155889e+03  1.546742e+04  3.680608e+04        11.521795
KETKF-hyperbolique (infl=1.05, c=0.01, reg=0.0001, sigma=1.0, deg=2, log_tr=True)     1.224259e+06  3.672777e+06  6.611204e+06        11.485626
EnKF-Sqrt (infl=1.05, trunc=True)                                                     1.311863e+06  6.973999e+05  7.513041e+05         9.796903
EnKF-DEnKF (infl=1.05, trunc=True)                                                    1.627381e+06  7.490706e+05  9.233077e+05         9.326547
EnKF-PertObs (infl=1.01, log_tr=True, rot=False)                                      5.477519e+17  7.725798e+17  2.877214e+18         8.960857
KETKF-polynomial (infl=1.05, c=1.0, reg=0.01, sigma=1.0, deg=1, log_tr=True)          3.997984e+18  1.184932e+19  3.032287e+17        11.358021
EnKF-PertObs (infl=1.05, log_tr=True, rot=False)                                      2.267075e+19  6.801225e+19  7.235268e+19         9.200248
KETKF-polynomial (infl=1.001, c=1.0, reg=0.01, sigma=1.0, deg=1, log_tr=True)         2.887845e+19  6.476522e+19  2.213258e+18        11.108882
KETKF-hyperbolique (infl=1.05, c=0.01, reg=0.001, sigma=1.0, deg=2, log_tr=True)      4.278247e+19  1.283474e+20  6.038059e+16        11.485224
KETKF-hyperbolique (infl=1.05, c=0.001, reg=0.001, sigma=1.0, deg=2, log_tr=True)     1.112725e+20  3.338176e+20  1.125449e+17        11.465513
KETKF-polynomial (infl=1.05, c=1.0, reg=0.001, sigma=1.0, deg=1, log_tr=True)         1.283755e+20  3.850607e+20  9.919162e+18        11.339755
KETKF-polynomial (infl=1.01, c=1.0, reg=0.01, sigma=1.0, deg=1, log_tr=True)          1.508958e+20  4.068296e+20  1.092088e+19        11.209277
KETKF-polynomial (infl=1.001, c=1.0, reg=0.001, sigma=1.0, deg=1, log_tr=True)        1.767950e+20  3.949268e+20  1.349378e+19        11.107329
KETKF-polynomial (infl=1.01, c=1.0, reg=0.001, sigma=1.0, deg=1, log_tr=True)         1.962450e+20  4.475658e+20  1.475064e+19        11.274619
EnKF-Sqrt (infl=1.01, log_tr=True)                                                    8.917869e+20  8.223141e+19  2.242962e+20         9.804672
EnKF-DEnKF (infl=1.01, log_tr=True)                                                   9.730096e+20  1.332887e+20  2.308762e+20         9.420550
EnKF-Sqrt (infl=1.05, log_tr=True)                                                    1.255843e+21  4.292871e+20  5.195424e+20        10.104343
EnKF-DEnKF (infl=1.05, log_tr=True)                                                   1.260660e+21  4.345931e+20  5.230721e+20         9.637072
EnKF-PertObs (infl=1.05, trunc=True, rot=False)                                       6.502437e+29  6.470802e+29  2.140746e+30         8.991696
